Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
WT3	WT	P00561	thrA	27.0785410973261	56
bisC1	bisC	P00561	thrA	26.223241814678413	49
bisC2	bisC	P00561	thrA	26.042341542701408	45
bisC3	bisC	P00561	thrA	26.07882413782565	50
msrA1	msrA	P00561	thrA	26.82703445416444	56
msrA2	msrA	P00561	thrA	27.34406803037029	54
msrA3	msrA	P00561	thrA	26.822750236350622	54
msrB1	msrB	P00561	thrA	25.904395470423264	55
msrB2	msrB	P00561	thrA	25.911541298918888	49
msrB3	msrB	P00561	thrA	25.833486483574912	50
msrC1	msrC	P00561	thrA	25.887558198071197	51
msrC3	msrC	P00561	thrA	25.548432132561004	54
WT1	WT	P00562	metL	27.06054817620945	34
WT2	WT	P00562	metL	26.9526907767713	33
WT3	WT	P00562	metL	26.91537648371522	33
bisC1	bisC	P00562	metL	26.992882771366276	32
bisC2	bisC	P00562	metL	27.068160119991077	32
bisC3	bisC	P00562	metL	27.039190997042848	34
msrA1	msrA	P00562	metL	26.96295203130294	32
msrA2	msrA	P00562	metL	27.134566073531108	33
msrA3	msrA	P00562	metL	26.949998982224404	32
msrB1	msrB	P00562	metL	27.115666174290084	31
msrB2	msrB	P00562	metL	27.139348530345913	33
msrB3	msrB	P00562	metL	27.136620701268964	31
msrC1	msrC	P00562	metL	27.052095195281385	33
msrC3	msrC	P00562	metL	27.133988955298385	33
WT1	WT	P00579	rpoD	28.341864080146543	33
WT2	WT	P00579	rpoD	28.43934570683071	35
WT3	WT	P00579	rpoD	28.452783170989555	34
bisC1	bisC	P00579	rpoD	28.34267424080163	35
bisC2	bisC	P00579	rpoD	28.39302994290478	34
bisC3	bisC	P00579	rpoD	28.42251536856109	35
msrA1	msrA	P00579	rpoD	28.323878847309803	32
msrA2	msrA	P00579	rpoD	28.380430546038365	34
msrA3	msrA	P00579	rpoD	28.384907430289253	35
msrB1	msrB	P00579	rpoD	28.267750536447636	33
msrB2	msrB	P00579	rpoD	28.32458710890137	32
msrB3	msrB	P00579	rpoD	28.39414969209941	35
