Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P31545	0.24413856942583934	-0.4345008845017354	0.9227780233534141	16.729005861554512	0.4440508566196808	0.8304434173952061	WT_vs_msrA
P00509	0.043957561561196457	-0.0783827259599533	0.1662978490823462	29.045158331667416	0.4445944684658112	0.830629425494644	WT_vs_msrA
P0AEZ3	0.04610539941860736	-0.08227172691742604	0.17448252575464077	28.559465743850517	0.4447982724301379	0.830629425494644	WT_vs_msrA
P23894	0.06501900637204727	-0.11618519566876392	0.24622320841285847	25.756045151030726	0.44519779449136243	0.830629425494644	WT_vs_msrA
P0A6W9	0.034310556933910163	-0.061320878462290326	0.12994199233011067	25.864369420792713	0.4452436110993008	0.830629425494644	WT_vs_msrA
P37182	0.22008775721509366	-0.39404762817526096	0.8342231426054483	24.229056227332823	0.44574814977854293	0.8310605074705472	WT_vs_msrA
P69874	0.058236900059100094	-0.10455310410654226	0.22102690422474244	26.61667689026307	0.4465231551877181	0.8319950144791388	WT_vs_msrA
P0AFK9	0.11287455029500038	-0.2030988928689098	0.42884799345891056	27.375571073721094	0.44715915628823155	0.8326695318381958	WT_vs_msrA
P77265	0.05642514240198793	-0.10203879527474832	0.21488908007872418	21.964224810043437	0.44858574764893744	0.8348145052695167	WT_vs_msrA
P28248	0.0768489247556019	-0.13952194590849573	0.29321979541969956	26.33553005073844	0.44970616741770963	0.835058063405616	WT_vs_msrA
P51020	-0.09773003818053638	-0.3733184197317043	0.17785834337063156	21.02240744081008	0.45038797601006264	0.835058063405616	WT_vs_msrA
Q47690	0.08234094209715082	-0.1501690865438683	0.3148509707381699	24.01007459765592	0.4509894786259644	0.835058063405616	WT_vs_msrA
P0A7D1	-0.05220073566443517	-0.19970126778832656	0.09529979645945622	25.14760406532131	0.45128463693843723	0.835058063405616	WT_vs_msrA
P75974	0.0654173411186676	-0.1194722709636219	0.2503069532009571	23.069817786321686	0.451388708275437	0.835058063405616	WT_vs_msrA
P0AEL6	0.22050110534807743	-0.40350562769296705	0.8445078383891219	22.98846252229884	0.45195511772210073	0.835058063405616	WT_vs_msrA
P38684	0.07730168824414818	-0.14152856168601052	0.2961319381743069	23.057022243842457	0.45209683220365127	0.835058063405616	WT_vs_msrA
P10408	0.04204962932472256	-0.07701467019182685	0.16111392884127196	27.170924900901177	0.4521991638380901	0.835058063405616	WT_vs_msrA
P69741	-0.09126344062742575	-0.3497174759508402	0.16719059469598868	27.534531143230964	0.4522671256655917	0.835058063405616	WT_vs_msrA
P0AFY6	-0.07881934696905901	-0.302083837657722	0.14444514371960399	22.07738039013525	0.45236876577986496	0.835058063405616	WT_vs_msrA
P0AFS5	-0.1529789275803637	-0.586696291937733	0.28073843677700566	19.992238952643163	0.45276207568968496	0.835058063405616	WT_vs_msrA
P0ACT6	0.06732101266448964	-0.12359850179634962	0.2582405271253289	24.355512553800853	0.4528881131784547	0.835058063405616	WT_vs_msrA
P77376	-0.06608628093808022	-0.25355984097227724	0.12138727909611677	23.77159827815164	0.45301874329002867	0.835058063405616	WT_vs_msrA
P0ABI8	0.08454532602495846	-0.1553235388082802	0.3244141908581971	28.153861195435848	0.45307498889219866	0.835058063405616	WT_vs_msrA
P0AA39	0.04745641898952968	-0.0871920022084886	0.18210484018754797	25.18649314837183	0.4530972841131291	0.835058063405616	WT_vs_msrA
P13009	-0.042063079022256034	-0.16142246505232677	0.0772963070078147	24.565112067522904	0.4531471005388874	0.835058063405616	WT_vs_msrA
P0AGA6	0.08813559069460908	-0.16269662286445669	0.33896780425367484	22.81300544381165	0.45443845179552544	0.835058063405616	WT_vs_msrA
P07604	0.04036577772140859	-0.07457298180981517	0.15530453725263235	24.701859544282257	0.45466207500924627	0.835058063405616	WT_vs_msrA
P0ABG4	0.08940647283315073	-0.16520727422632825	0.3440202198926297	22.53727601276477	0.4547224294642921	0.835058063405616	WT_vs_msrA
P75779	-0.14519309667887725	-0.5587428087524746	0.2683566153947201	20.753453334559698	0.45479204306966026	0.835058063405616	WT_vs_msrA
P0A7J7	0.05884224381376768	-0.10877999274882963	0.226464480376365	31.770851001936098	0.454853346983193	0.835058063405616	WT_vs_msrA
P0AAS0	0.1223344580178285	-0.22637293621919374	0.47104185225485073	26.032239239217287	0.4551261618217699	0.835058063405616	WT_vs_msrA
P69820	0.35785200292823305	-0.6622445893466824	1.3779485952031485	20.833642825879625	0.45515191929156196	0.835058063405616	WT_vs_msrA
P0ADW8	-0.09531735032041411	-0.36712870809135206	0.17649400745052385	22.733076210429456	0.4553113560589357	0.835058063405616	WT_vs_msrA
P0AFH0	-0.08338176284787124	-0.3215591057157501	0.15479558002000762	21.465471059617467	0.45605243875653756	0.8359127631972966	WT_vs_msrA
P05194	-0.04120760387744582	-0.15901185989843317	0.07659665214354153	24.119544266003285	0.45641006178991195	0.8360640010726597	WT_vs_msrA
P77549	-0.12561249660399554	-0.4851299227319782	0.23390492952398712	18.957458355557087	0.45691815018560333	0.8364905171168967	WT_vs_msrA
P0A7F6	0.12447574358114011	-0.23239035447012546	0.4813418416324057	26.911139502753958	0.4576579253777956	0.836870407383265	WT_vs_msrA
P0ADB1	0.1697327994638158	-0.3173501853775867	0.6568157843052183	30.975445373225178	0.4580779174508157	0.836870407383265	WT_vs_msrA
P23522	-0.09019251215007529	-0.3491411369399051	0.16875611263975454	24.625500380636733	0.458285467093016	0.836870407383265	WT_vs_msrA
P76078	0.4057520925733371	-0.7592746256240182	1.5707788107706924	19.477007804852946	0.4583177053592091	0.836870407383265	WT_vs_msrA
P46849	0.06030149054024392	-0.11298391548672138	0.2335868965672092	19.437030656115773	0.4586792311860445	0.836870407383265	WT_vs_msrA
P76148	0.10486082152540632	-0.19657799960984712	0.40629964266065977	20.25207384859459	0.45883232651415273	0.836870407383265	WT_vs_msrA
P0A6Y8	-0.038919338108065915	-0.15085559439013815	0.07301691817400632	30.849622057048016	0.4590532968436666	0.836870407383265	WT_vs_msrA
P0A6P5	0.03436812524889632	-0.06456829909595649	0.13330454959374913	25.949903999712138	0.459451041429212	0.8370833294750334	WT_vs_msrA
P63340	-0.049830743716682946	-0.19336842398880164	0.09370693655543574	23.67242498402137	0.4597209861447288	0.8370833294750334	WT_vs_msrA
P39831	-0.03901797869081136	-0.1514923052973285	0.07345634791570575	28.200659034933235	0.4600430800363271	0.8371682157068252	WT_vs_msrA
P39333	-0.09122364968082408	-0.3550041857253828	0.17255688636373462	18.18201436892061	0.4613972018300879	0.8391299200249175	WT_vs_msrA
P0AEW4	0.09263104650093013	-0.17601746552985087	0.3612795585317111	25.699360126036083	0.46269536435497116	0.8403478190539923	WT_vs_msrA
P0AE60	-0.07816598137631559	-0.30520232297661665	0.14887036022398545	23.153005108637224	0.46334732406279333	0.8403478190539923	WT_vs_msrA
P07012	0.04548354525082843	-0.08666836001659034	0.1776354505182472	27.16086933767742	0.46348928375462717	0.8403478190539923	WT_vs_msrA
P36881	-0.09429946301174041	-0.36872408301646953	0.1801251569929887	22.177991086594478	0.46418588140833295	0.8403478190539923	WT_vs_msrA
P0A7J3	0.05093628965560271	-0.09752547994785915	0.19939805925906456	31.65791990465439	0.46486073728370014	0.8403478190539923	WT_vs_msrA
P0A6S3	-0.1707885118247603	-0.6690149429176067	0.327437919268086	20.935824233219062	0.46524211419756256	0.8403478190539923	WT_vs_msrA
P39173	-0.0569343435500862	-0.223175926250297	0.10930723915012461	27.743501988878105	0.46563982824042083	0.8403478190539923	WT_vs_msrA
P19934	-0.055823538348082735	-0.21888502565276158	0.10723794895659611	23.252791691337485	0.4658086770330707	0.8403478190539923	WT_vs_msrA
P76235	0.13123302270656723	-0.25228828068531345	0.514754326098448	23.72869997395738	0.466021159130949	0.8403478190539923	WT_vs_msrA
P13738	0.07020766790155264	-0.13498890882762443	0.2754042446307297	25.329207397210354	0.46606038753372814	0.8403478190539923	WT_vs_msrA
P11072	-0.12244398356939001	-0.480336611122068	0.23544864398328796	23.30917985192439	0.46609014332682985	0.8403478190539923	WT_vs_msrA
P0AG63	-0.11217270566809034	-0.44005357766834524	0.21570816633216455	30.589359347472218	0.4661037354865587	0.8403478190539923	WT_vs_msrA
P15067	0.04065781857054418	-0.0782176974818667	0.15953333462295505	24.11833126211312	0.46622325355305316	0.8403478190539923	WT_vs_msrA
P08194	0.05726493907256014	-0.11029908979999842	0.2248289679451187	27.83127274752488	0.46656700744858715	0.8403478190539923	WT_vs_msrA
P0A9U6	0.058953123504654315	-0.11366492640006723	0.23157117340937586	23.04876370816013	0.4668544046817381	0.8403478190539923	WT_vs_msrA
P77754	0.10596437320218755	-0.20449034014456546	0.41641908654894055	24.99029250896748	0.46711333856843706	0.8403478190539923	WT_vs_msrA
P0A6P9	0.0538656518766345	-0.10398049033865014	0.21171179409191915	31.40514880939865	0.4671969721775897	0.8403478190539923	WT_vs_msrA
P0AF63	-0.06968287029334164	-0.27405148304567084	0.1346857424589876	22.97368361528603	0.4675628577486496	0.8403478190539923	WT_vs_msrA
P37052	0.05719897379893979	-0.11057715450001479	0.22497510209789437	23.572425907769404	0.4676165788642178	0.8403478190539923	WT_vs_msrA
P68183	-0.10189944865886957	-0.40084183592339007	0.19704293860565092	22.182006062173908	0.4676902471250348	0.8403478190539923	WT_vs_msrA
P0A890	0.3446503405129917	-0.6679982460844687	1.357298927110452	20.76396472558134	0.468353814438775	0.8403478190539923	WT_vs_msrA
P64423	-0.052612984665863394	-0.2073811894583918	0.102155220126665	22.921832939735435	0.4688616620152811	0.8403478190539923	WT_vs_msrA
P04983	0.06689299051294739	-0.13004106029477663	0.2638270413206714	24.794660145133673	0.4692122869486547	0.8403478190539923	WT_vs_msrA
P39359	0.09060404230048746	-0.17631601582532624	0.3575241004263012	23.687709782914038	0.46950498676844477	0.8403478190539923	WT_vs_msrA
P75728	0.054903973526410965	-0.10685705067502765	0.21666499772784958	25.345775418574295	0.4695413646789872	0.8403478190539923	WT_vs_msrA
P77318	0.08723396550604434	-0.16978368525770965	0.34425161626979833	25.509211819010577	0.4695485682169268	0.8403478190539923	WT_vs_msrA
P33013	-0.34958482191531104	-1.379970486633852	0.6808008428032299	19.119560990028	0.4697180033000917	0.8403478190539923	WT_vs_msrA
P0A8P8	-0.05291021534343443	-0.2090166873486501	0.10319625666178123	24.953931391099395	0.4701508172640374	0.8403478190539923	WT_vs_msrA
P41039	-0.3151309057112677	-1.2453775614923008	0.6151157500697655	18.50983325677495	0.47037579639688243	0.8403478190539923	WT_vs_msrA
P0ADZ4	-0.05312126358731817	-0.20995528980845454	0.1037127626338182	31.56679866733339	0.47044034404521407	0.8403478190539923	WT_vs_msrA
P0A6Z3	0.03466470150133816	-0.06774863609738518	0.1370780391000615	28.236724998646288	0.4707364096120612	0.8403478190539923	WT_vs_msrA
P0A9Z1	0.06405696373127157	-0.12527120826791052	0.2533851357304536	27.705975687222455	0.4709155432211085	0.8403478190539923	WT_vs_msrA
P77473	-0.0548037989775878	-0.2170272728538334	0.10741967489865778	21.929486354924993	0.47156686153984395	0.840818112425428	WT_vs_msrA
P0AEJ2	0.3617942677687367	-0.7097939147665608	1.4333824503040342	23.256017437973373	0.4718288110293617	0.840818112425428	WT_vs_msrA
P77364	0.08616835468302853	-0.16917585217122066	0.3415125615372777	21.743670786881818	0.4720397289571451	0.840818112425428	WT_vs_msrA
P76406	0.07458392433412087	-0.14665704509978592	0.2958248937680277	22.104167425170793	0.4724794982723637	0.840818112425428	WT_vs_msrA
P76034	-0.050090181079397667	-0.19870302866332698	0.09852266650453165	24.031444288414722	0.4725624666083025	0.840818112425428	WT_vs_msrA
P64499	0.17822192159634298	-0.35098263005333574	0.7074264732460217	20.00390792523759	0.47291909132951626	0.8409602800177881	WT_vs_msrA
P15993	-0.12236471922707892	-0.4859935261384914	0.24126408768433355	21.23442400001064	0.4732566302333421	0.841068362151536	WT_vs_msrA
P0AAJ5	-0.06793934191152928	-0.2700597720676979	0.1341810882446393	25.37563187732513	0.47374027492511483	0.8413058823308874	WT_vs_msrA
P0AD57	0.15816701417725554	-0.31260417472058505	0.6289382030750961	23.391694689365746	0.4739439521390192	0.8413058823308874	WT_vs_msrA
P11458	-0.07700851930223962	-0.30639059053181106	0.15237355192733185	21.820056747612817	0.4742683661722408	0.8413902888484761	WT_vs_msrA
P37682	-0.058142840726464584	-0.2317328941072038	0.11544721265427463	21.55282388626878	0.47526843540311114	0.8426725642882467	WT_vs_msrA
P0ACK8	0.0706129559573796	-0.14041549944657977	0.28164141136133897	23.071162887947764	0.4756928489990635	0.8429332758648128	WT_vs_msrA
P0A9V5	-0.19288904730983347	-0.7701025695867058	0.3843244749670388	21.80873554361767	0.4762600215579298	0.8431207024984253	WT_vs_msrA
P77585	-0.13262870907833246	-0.5296368523087365	0.26437943415207155	19.571408253054873	0.4763917278966201	0.8431207024984253	WT_vs_msrA
P60932	0.08372931455043897	-0.1670839231987758	0.33454255229965374	23.34162474032942	0.476699810690974	0.8431207024984253	WT_vs_msrA
P0AGK8	0.19794900217470612	-0.3953471487340049	0.7912451530834171	23.263131618667007	0.4769427013988836	0.8431207024984253	WT_vs_msrA
P41409	0.0578702430532978	-0.11567754117912529	0.2314180272857209	27.037499604046218	0.4771857875279011	0.8431207024984253	WT_vs_msrA
P77766	-0.06614965995317945	-0.26493797833428945	0.13263865842793054	22.169313272468393	0.47807571742275534	0.8438494821521809	WT_vs_msrA
P65367	0.21904319803580563	-0.4393777881994304	0.8774641842710417	23.87754116496291	0.47818513691299314	0.8438494821521809	WT_vs_msrA
P28224	0.07402176266307237	-0.1487429441498896	0.2967864694760343	21.5828455352081	0.47869234336187183	0.8438494821521809	WT_vs_msrA
P42620	0.09848695622106618	-0.1980833165842924	0.39505722902642476	24.688488136295202	0.4789511868831434	0.8438494821521809	WT_vs_msrA
P76471	0.07901546394872838	-0.15894064779181652	0.31697157568927325	22.632656030112138	0.47898662609822706	0.8438494821521809	WT_vs_msrA
P0ABW9	0.730816197921488	-1.473019900640641	2.934652296483617	19.88429794398621	0.47956578733945965	0.8440917436837719	WT_vs_msrA
P76223	-0.05714201781256634	-0.22957379148423404	0.11528975585910137	23.612014356101547	0.4798526880091255	0.8440917436837719	WT_vs_msrA
P61175	0.04845212293346535	-0.09781512458961589	0.19471937045654658	31.701242056732838	0.4800230091726623	0.8440917436837719	WT_vs_msrA
P0AC13	0.05649630608278855	-0.1142644496781523	0.2272570618437294	24.507940076003187	0.4805496463205029	0.8440917436837719	WT_vs_msrA
P33355	0.040788092911519414	-0.08253448706408922	0.16411067288712805	23.817057259942025	0.48068890711657664	0.8440917436837719	WT_vs_msrA
P16256	0.052463200742526084	-0.10630233521646737	0.21122873670151954	22.149759661341072	0.481075699649532	0.8440917436837719	WT_vs_msrA
P77475	0.20906860709620645	-0.4243775881989972	0.8425148023914101	22.777379799962258	0.4815876901241658	0.8440917436837719	WT_vs_msrA
P0A7A7	-0.03194965753435497	-0.12875420734170645	0.06485489227299651	26.171154546901654	0.4815962194992577	0.8440917436837719	WT_vs_msrA
P0AE18	0.0363324470367985	-0.07375868077087812	0.1464235748444751	27.30645639467218	0.4816239169291413	0.8440917436837719	WT_vs_msrA
P33219	0.26981769962515045	-0.5504345360050815	1.0900699352553824	25.06295606185071	0.48302138887051593	0.846053026384725	WT_vs_msrA
P09126	0.046953386525551366	-0.09590342632781762	0.18981019937892035	24.42089309818429	0.4833726192467773	0.8461805241307352	WT_vs_msrA
P76170	0.07380917928308861	-0.1512777180501528	0.29889607661633	26.1312260437992	0.4843613343487958	0.8474231980921073	WT_vs_msrA
P0A9H5	-0.056127708646464214	-0.2275207907089289	0.11526537341600046	23.387141234831123	0.48492721654743753	0.8475516235994319	WT_vs_msrA
P0AG86	0.1650901745341642	-0.33942663764530556	0.669606986713634	28.81016615627723	0.4852594743944503	0.8475516235994319	WT_vs_msrA
P29744	0.20185116061555775	-0.41525164631164624	0.8189539675427617	24.869184825034637	0.4854281443996802	0.8475516235994319	WT_vs_msrA
P39370	-0.35356717342073374	-1.435962869737802	0.7288285228963345	15.832795542449299	0.48600487020849137	0.8475516235994319	WT_vs_msrA
P46891	-0.09025734782326822	-0.36681353715727405	0.1862988415107376	20.60963873127435	0.48638405312202126	0.8475516235994319	WT_vs_msrA
P0A8S1	-0.04443190251054929	-0.18059192824880343	0.09172812322770485	23.76828713073298	0.48643689453156047	0.8475516235994319	WT_vs_msrA
P15723	0.053521544158591894	-0.11073487145272884	0.21777795976991263	24.04026694838185	0.4870630990561259	0.8475516235994319	WT_vs_msrA
P0AFJ1	0.10106185433303239	-0.20944962414223173	0.4115733328082965	27.807765615801912	0.4875495574611267	0.8475516235994319	WT_vs_msrA
P0AF59	0.06903574759279607	-0.1431298829075313	0.2812013780931234	24.378828858316588	0.4876578478541834	0.8475516235994319	WT_vs_msrA
P0AAC6	-0.24392261610740107	-0.9935766671101977	0.5057314348953955	21.806041020378967	0.48766550662603736	0.8475516235994319	WT_vs_msrA
P25746	-0.04796784119950814	-0.19542804117266885	0.09949235877365256	24.3293955776243	0.4877788918845942	0.8475516235994319	WT_vs_msrA
P19926	-0.044363276401281126	-0.18075704877882082	0.09203049597625856	28.930850324177268	0.4878241973250035	0.8475516235994319	WT_vs_msrA
P0AFH8	0.1469136522539145	-0.3055823606099242	0.5994096651177532	29.8525001730766	0.48858902133113435	0.8475516235994319	WT_vs_msrA
P46474	0.03685958803083267	-0.07667435412287074	0.15039353018453608	22.959274511018066	0.48861116329056364	0.8475516235994319	WT_vs_msrA
P0A7H3	-0.09349712941806843	-0.3814892619834516	0.19449500314731477	21.761446738053884	0.4886181127167505	0.8475516235994319	WT_vs_msrA
P05824	-0.18969065304114707	-0.7746010235306647	0.3952197174483706	19.6649644514989	0.4890689051129764	0.8478496307121136	WT_vs_msrA
P0ABP8	0.0658547334385311	-0.13767781862109105	0.2693872854981533	29.593484785522822	0.4900493170563631	0.848920528055257	WT_vs_msrA
P39360	0.1607479651869106	-0.33652909698613365	0.6580250273599548	18.65419452389266	0.4904457385823341	0.848920528055257	WT_vs_msrA
P0A7C6	0.0580600372213631	-0.12161070528906026	0.23773077973178647	27.646273450408426	0.4905893133972413	0.848920528055257	WT_vs_msrA
P76143	0.10770952278003776	-0.2257738415870863	0.4411928871471618	26.599790152752426	0.4908040038805813	0.848920528055257	WT_vs_msrA
P32176	-0.057000797341761	-0.23360732302669338	0.11960572834317137	26.443507003918636	0.4911022570600343	0.8489532191157249	WT_vs_msrA
P0A8R0	-0.04373630090308467	-0.17936404011155294	0.0918914383053836	27.90213805096494	0.49147345118447516	0.8491118920691416	WT_vs_msrA
P0AFK4	-0.051887716355139446	-0.21310636687457787	0.10933093416429898	23.637820723297292	0.4922961671762598	0.8496819210246893	WT_vs_msrA
P21514	0.09112718713555168	-0.19205561065699212	0.3743099849280955	20.550830351495698	0.4923625741771892	0.8496819210246893	WT_vs_msrA
Q46897	-0.12966402227193896	-0.5330349332799693	0.27370688873609134	19.49635534475853	0.49281650926651255	0.8497857814898284	WT_vs_msrA
P23886	-0.0441970928016282	-0.18174336236222588	0.09334917675896948	24.006824787521943	0.4929820114401341	0.8497857814898284	WT_vs_msrA
P14176	0.12278530810618804	-0.2598339516920828	0.5054045679044589	24.81522259441587	0.4935320575224409	0.8502516569221643	WT_vs_msrA
P14407	0.07981314828989028	-0.1691477586566236	0.32877405523640413	26.678170803529383	0.4939563372537883	0.8505004583083641	WT_vs_msrA
P00946	-0.03512995296021515	-0.14503340717787228	0.07477350125744196	28.197202362713863	0.4951970674295808	0.8515477957043311	WT_vs_msrA
P23830	-0.03449780869220476	-0.14252709992174198	0.07353148253733247	25.913943149527338	0.49560109280173636	0.8515477957043311	WT_vs_msrA
P0A6G7	-0.0662177753321842	-0.27367091927429743	0.14123536860992905	28.42467141836931	0.4957907103858874	0.8515477957043311	WT_vs_msrA
P0AD05	-0.1368910427602934	-0.5657839788922341	0.2920018933716473	25.2816560225505	0.4958182900746595	0.8515477957043311	WT_vs_msrA
P0ABM9	0.0484691996936526	-0.10365853081581072	0.20059693020311592	25.430641141973496	0.49656372985785047	0.8515477957043311	WT_vs_msrA
P75864	0.03237108462943539	-0.06926522734155564	0.13400739660042643	24.788273100766588	0.49670825787769857	0.8515477957043311	WT_vs_msrA
P52101	-0.05071170490396071	-0.20996777468545544	0.10854436487753402	21.827184339913067	0.496801427412515	0.8515477957043311	WT_vs_msrA
P23857	-0.10889008911227904	-0.450928391036188	0.2331482128116299	28.511156836038413	0.49689698096005275	0.8515477957043311	WT_vs_msrA
P68191	0.05978822339276135	-0.12809915827776888	0.2476756050632916	29.79008585441202	0.4970864723854832	0.8515477957043311	WT_vs_msrA
P0ADF8	0.4125049159687073	-0.8865827106874951	1.7115925426249097	21.96023250867814	0.49798440568362246	0.8524856964258006	WT_vs_msrA
P0ACH8	-0.05671912493863829	-0.23543225854710612	0.12199400866982954	21.642129014562496	0.4981949973189279	0.8524856964258006	WT_vs_msrA
P52048	0.1673618941555226	-0.36094251872352434	0.6956663070345696	19.560100718643064	0.498969366947445	0.8533302792083767	WT_vs_msrA
P45524	0.07230786797198263	-0.1564209094106406	0.30103664535460584	20.45825018986992	0.49984626729103665	0.8543491598973343	WT_vs_msrA
P76113	-0.08564402277198724	-0.3572541683210745	0.1859661227771	26.421804809769466	0.5009210531017512	0.8557049355684215	WT_vs_msrA
Q46857	0.09347725054414369	-0.20340746777685398	0.39036196886514135	28.423529935422582	0.5015313275335078	0.8558851100347982	WT_vs_msrA
P30958	-0.030083270347169844	-0.12566593427721173	0.06549939358287206	24.558502110456384	0.5016972449748526	0.8558851100347982	WT_vs_msrA
P77213	0.12388705603475358	-0.27010455609484757	0.5178786681643548	24.891111786572143	0.5020892955827456	0.8558851100347982	WT_vs_msrA
P15043	0.11733069457371315	-0.25616562001767595	0.49082700916510225	17.54778063479717	0.502487591828971	0.8558851100347982	WT_vs_msrA
P37353	-0.08931350282515638	-0.37371525089434887	0.19508824524403612	21.704409033804556	0.502622799819912	0.8558851100347982	WT_vs_msrA
P50465	-0.07977306865906186	-0.33386119046047147	0.17431505314234774	22.442361519142832	0.5027314873256867	0.8558851100347982	WT_vs_msrA
Q46855	0.05057047511343171	-0.11061165909492346	0.21175260932178688	22.1629293805742	0.5030122748876507	0.8558851100347982	WT_vs_msrA
P0ADA1	0.07574887618467585	-0.16583834659858865	0.31733609896794035	24.009367654088887	0.5032795957986786	0.8558851100347982	WT_vs_msrA
P0AAG5	-0.058652163022799186	-0.24627805958225346	0.1289737335366551	21.080762659121216	0.504539523723023	0.8565936378837135	WT_vs_msrA
P02921	0.11969353325827825	-0.26320364693523185	0.5025907134517884	19.364861663304023	0.5045421486506579	0.8565936378837135	WT_vs_msrA
P60869	0.07162882832750483	-0.15759538055966937	0.30085303721467904	23.195898122811908	0.5046968957986602	0.8565936378837135	WT_vs_msrA
P43340	0.06355355957752451	-0.14000079576757507	0.2671079149226241	25.988801277779565	0.5050500451813663	0.8565936378837135	WT_vs_msrA
P77619	0.05811732754830601	-0.12805022992806517	0.24428488502467718	22.53149537215273	0.5051055607395901	0.8565936378837135	WT_vs_msrA
P0A720	0.03289565376848813	-0.0725917367269999	0.13838304426397616	23.657997158665044	0.5055504084465541	0.8568698780084093	WT_vs_msrA
P00561	0.09084490506672438	-0.20118805317676758	0.38287786331021634	26.40643294540897	0.5065753749495043	0.858128519772321	WT_vs_msrA
P28306	0.0555095891465065	-0.12337994103751612	0.23439911933052912	24.274259999638353	0.5076147130949469	0.8585494538185621	WT_vs_msrA
P75821	-0.04537593136777218	-0.19163975553572854	0.10088789280018418	22.888761456556374	0.5077050852418776	0.8585494538185621	WT_vs_msrA
P0AD59	-0.06803143018873925	-0.28736310264545983	0.15130024226798133	26.787911982090467	0.5077819752595798	0.8585494538185621	WT_vs_msrA
P39356	-0.04502400223635661	-0.1902618791270961	0.10021387465438289	24.753511149867357	0.5080153876818414	0.8585494538185621	WT_vs_msrA
P0AFG8	-0.04974536067625479	-0.2102987726558087	0.11080805130329913	30.759354699519328	0.5082364157353054	0.8585494538185621	WT_vs_msrA
P0AFP9	-0.11842809933726173	-0.5010323589476157	0.2641761602730922	22.987298077890433	0.5086455787241888	0.8587632854126721	WT_vs_msrA
P36837	-0.07169058258435612	-0.30379249817031023	0.160411333001598	25.247342036197733	0.5095257167740497	0.8591446561674003	WT_vs_msrA
P63224	0.03571700389916188	-0.07994354312585293	0.1513775509241767	28.344999683351226	0.5096150603253804	0.8591446561674003	WT_vs_msrA
P77409	0.12481309006172481	-0.2795600746664962	0.5291862547899457	20.098009242100126	0.5098173430790491	0.8591446561674003	WT_vs_msrA
P77368	0.14581699592597985	-0.3268857135127207	0.6185197053646805	20.585252676582144	0.5100632476469453	0.8591446561674003	WT_vs_msrA
P31678	-0.08001926519364844	-0.33956088140227353	0.17952235101497666	24.56483546584574	0.5102849965061393	0.8591446561674003	WT_vs_msrA
P76220	0.04869970965104997	-0.10941605629033291	0.20681547559243285	26.190777230697318	0.5107010108442362	0.8593689767196201	WT_vs_msrA
P68066	-0.0762135328944602	-0.32446441338704035	0.17203734759811992	32.02949618397962	0.5120437056464131	0.859464620601081	WT_vs_msrA
P31119	-0.2337277980106549	-0.9961290001292102	0.5286734041079004	23.547880927033123	0.5126282110851825	0.859464620601081	WT_vs_msrA
P0AC47	0.04048413459897304	-0.09158917417895579	0.17255744337690188	29.31876220403648	0.5126824005253605	0.859464620601081	WT_vs_msrA
P32670	-0.06002939512335814	-0.25590447835844954	0.13584568811173325	27.0396036104934	0.5127632393889677	0.859464620601081	WT_vs_msrA
P63284	0.03578097394685997	-0.08100712410566409	0.15256907199938402	28.53290762134058	0.5128879596020344	0.859464620601081	WT_vs_msrA
P41052	-0.0960068706903634	-0.40942596671367304	0.21741222533294624	23.460807024643163	0.512960872494498	0.859464620601081	WT_vs_msrA
P0AGJ7	0.04005477376429312	-0.09070676815069106	0.1708163156792773	23.585907825396696	0.5129633536357794	0.859464620601081	WT_vs_msrA
P76180	0.058591460383087934	-0.13308851552627993	0.2502714362924558	22.519812085111063	0.5138341156893882	0.859464620601081	WT_vs_msrA
P0A6A8	-0.426048077773153	-1.8207372474378176	0.9686410918915116	30.321365070313245	0.5140964796088172	0.859464620601081	WT_vs_msrA
P77148	0.08955292623873845	-0.2036747833915462	0.3827806358690231	23.7162705456313	0.5141974630756663	0.859464620601081	WT_vs_msrA
P37327	0.06864764396523526	-0.15616428520601106	0.2934595731364816	22.27178345231511	0.5142624536497855	0.859464620601081	WT_vs_msrA
P0ACR0	0.5202451900518135	-1.1842165698260159	2.224706949929643	17.878546712679302	0.5144384249542043	0.859464620601081	WT_vs_msrA
P75777	-0.08335666295842259	-0.35678343707048493	0.19007011115363975	26.24262624214585	0.5149330275851467	0.859464620601081	WT_vs_msrA
P0A6V8	-0.041998184437524344	-0.1797819707787554	0.09578560190370672	26.7758472505051	0.5149964320115062	0.859464620601081	WT_vs_msrA
Q46948	-0.040178673135997656	-0.17199432406493312	0.09163697779293781	26.053681390992097	0.5150000243878146	0.859464620601081	WT_vs_msrA
P0AFM6	0.14120547707731745	-0.32239951556790347	0.6048104697225384	29.693671275253987	0.5153082250807614	0.8595069681780646	WT_vs_msrA
P0C0R7	-0.04258364090105715	-0.18276909789561901	0.09760181609350471	24.977666894144694	0.516410104612285	0.8597425956096648	WT_vs_msrA
P07018	-0.10883055030571853	-0.4672895155574529	0.24962841494601584	22.432971079123604	0.5166262534645553	0.8597425956096648	WT_vs_msrA
P0A877	0.058193387302992505	-0.13353860983789081	0.24992538444387583	25.693770909980742	0.5167514370167007	0.8597425956096648	WT_vs_msrA
P43672	0.03746836585176183	-0.086011732591805	0.16094846429532866	26.263351898271377	0.5168566633861089	0.8597425956096648	WT_vs_msrA
