Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P24216	-4.721764573164798	-6.279865932270489	-3.1636632140591066	21.63666597873283	3.943172776670691e-5	0.0018723909481722235	WT_vs_bisC
P39180	0.4538932903656381	0.3032936435892618	0.6044929371420144	24.29881525844075	4.1371536064821426e-5	0.0019342784323229587	WT_vs_bisC
P02931	-1.7421264475147282	-2.328227813510888	-1.1560250815185686	28.136807494376683	4.670093040247181e-5	0.002133259812991614	WT_vs_bisC
P0A8G6	0.43428409642198673	0.28806018584298976	0.5805080070009837	31.14479998857001	4.703139436342156e-5	0.002133259812991614	WT_vs_bisC
P68187	-0.42113815044549696	-0.5635251820354747	-0.2787511188555192	25.881155623356943	4.876090656950994e-5	0.0021791822803638337	WT_vs_bisC
P07026	-0.6670933151586986	-0.8931601011946999	-0.44102652912269735	21.339892340246077	4.9751450225110874e-5	0.0021912269164364047	WT_vs_bisC
P0A9H9	-3.476785183380567	-4.663680253616959	-2.2898901131441756	21.78964478239356	5.3021118131205806e-5	0.002301873971439063	WT_vs_bisC
P37637	0.7578751963272481	0.49521629233103415	1.020534100323462	23.636363848504377	6.0417172846516133e-5	0.002586025187050176	WT_vs_bisC
P76227	-2.899272217533582	-3.911536268570276	-1.8870081664968879	21.053649878697456	6.438686183248385e-5	0.002717662126512756	WT_vs_bisC
P76513	-0.7132496193643156	-0.9650313355052602	-0.4614679032233711	17.197050069723815	7.07592110704621e-5	0.0029156369034599792	WT_vs_bisC
P00934	0.5543282055023226	0.35857035234065704	0.7500860586639883	27.101993078552244	7.099609439158883e-5	0.0029156369034599792	WT_vs_bisC
Q46807	0.47783554494821345	0.30825465221019255	0.6474164376862344	24.945437615620488	7.406040823785821e-5	0.003000927741798015	WT_vs_bisC
P77400	0.8991130908940193	0.5779651212416831	1.2202610605463553	23.415886629954986	7.823651494852451e-5	0.0031284311701127105	WT_vs_bisC
P11868	-0.961616613278732	-1.312727016110101	-0.6105062104473631	24.903920699538787	9.428285467297195e-5	0.003716392337481135	WT_vs_bisC
P46482	2.977315833180038	1.888723976085532	4.0659076902745435	17.44910239053424	9.538618042893337e-5	0.003716392337481135	WT_vs_bisC
P06999	0.7038304005640548	0.4452303063212142	0.9624304948068954	26.912103114348714	9.939538331937279e-5	0.0038235768342730877	WT_vs_bisC
P37646	-3.2050176588247297	-4.386720137328018	-2.0233151803214415	20.19708773017087	1.0236148631912849e-4	0.0038423146857121623	WT_vs_bisC
P0AF01	-2.665437193667323	-3.64825093031863	-1.6826234570160157	20.067415605189684	1.0241115154415437e-4	0.0038423146857121623	WT_vs_bisC
P23930	-0.2716133474663671	-0.3725045844793257	-0.17072211045340852	23.880821993532297	1.0894800547991776e-4	0.004037719373822806	WT_vs_bisC
P77454	0.8951997002707017	0.5587161097460036	1.2316832907953998	25.88634830232478	1.2028948369725444e-4	0.004404334228385015	WT_vs_bisC
P11663	4.034430545895141	2.5151801340166076	5.5536809577736745	19.812411153888128	1.221592433256745e-4	0.004419546910318152	WT_vs_bisC
P0ACW6	1.0262619330729414	0.6344089294480759	1.418114936697807	26.692929231735032	1.3707176222968202e-4	0.004855193028221199	WT_vs_bisC
Q46904	0.879607493905139	0.5434397379983082	1.2157752498119698	15.988310353932409	1.381275238043208e-4	0.004855193028221199	WT_vs_bisC
P0AAD6	-1.0313465585783952	-1.4265132737049955	-0.6361798434517949	24.873774447486873	1.4107776123009592e-4	0.004855193028221199	WT_vs_bisC
P75862	-2.7590106683201263	-3.8162551644733074	-1.7017661721669453	18.712042005620113	1.4120231901451123e-4	0.004855193028221199	WT_vs_bisC
O52982	-2.589768338970874	-3.5835140959955796	-1.5960225819461682	17.46376922384382	1.4280430544597159e-4	0.004855193028221199	WT_vs_bisC
P28904	-0.3132564251878591	-0.43355886480215955	-0.19295398557355872	28.170800062278175	1.4378656549519838e-4	0.004855193028221199	WT_vs_bisC
P64463	0.7746992111771682	0.4757886986398551	1.0736097237144813	28.54801233738855	1.494552852232557e-4	0.004991149580148067	WT_vs_bisC
P0AAB8	0.5596984045367286	0.3426271190197137	0.7767696900537435	25.28202841570191	1.5594443774706338e-4	0.005151251590362235	WT_vs_bisC
P0A6Y8	0.28814737466517215	0.1762111183830999	0.4000836309472444	30.849622057048016	1.5804946805389548e-4	0.0051646487464063265	WT_vs_bisC
